title;url;comment;satisfaction;received;category;column_7;column_8;column_9;column_10;column_11;column_12;column_13;column_14;column_15;column_16;column_17;column_18;column_19;column_20;column_21;column_22;column_23;column_24;column_25;column_26;column_27;column_28
Town of Cary : Mowing and Ground Maintenance Within Street Rights of Way;http://www.townofcary.org/mayor-council/town-policies/mowing-and-ground-maintenance-within-street-rights-of-way;Very helpful;5;3/21/2017 9:55;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Bond Park Community Center;http://www.townofcary.org/recreation-enjoyment/facilities/bond-park-community-center;When is kids day;1;3/18/2017 17:19;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Sk8-Cary;http://www.townofcary.org/recreation-enjoyment/facilities/sk8-cary;Membership costs how much? Not on here.;3;3/15/2017 9:40;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Make a Payment;http://www.townofcary.org/services-publications/make-a-payment;No.  Can't find my bill online;1;3/24/2017 18:38;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Contact the Town;http://www.townofcary.org/connect-engage/get-help;Cannot contact call center on weekends;1;3/25/2017 11:35;Service Requests/Inquiries;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Spring Youth Baseball and Softball (Age 5-18);http://www.townofcary.org/recreation-enjoyment/sports/youth-sports/spring-youth-baseball-and-softball-ages-5-18;;3;3/3/2017 17:29;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Standard Detail Drawings 2009 - 2016;http://www.townofcary.org/business-development/developing-in-cary/standard-detail-drawings;;1;3/16/2017 9:29;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : New to Cary?;http://www.townofcary.org/services-publications/new-to-cary;;5;3/20/2017 19:31;;;;;;;;;;;;;;;;;;;;;;;
GoCary | Town of Cary;http://www.townofcary.org/services-publications/transit/gocary;"""The GoCary bus drivers that have the route around the Cary Towne Center need to observe stop signs and come to a full stop particularly when pedestrians are in the crosswalk.  In particular the drivers who are on the shift that makes the turn near the Town Aquatic Center in the evening after 7 pm DO NOT STOP at the stop sign.  Today I as well as several other pedestrians had to yield to the driver who slowed down but did not stop";"even though we were already in the street.  Nice going GO CARY!  Who will be the lottery winner when your driver mows down a pedestrian!""";1;7/14/2017 20:03;Other Comments;;;;;;;;;;;;;;;;;;;;;
"""Boards";"Commissions & Committees | Town of Cary""";http://www.townofcary.org/mayor-council/boards-commissions-committees;"""get this tab out from the middle of the bottom!  The website is beautiful";"and this is detracting form the content-- maybe stash it to the side?""";3;7/27/2017 13:11;Look/Feel;;;;;;;;;;;;;;;;;;;;
